SPEED,MAF,ENGINE_RPM,THROTTLE_POS,INTAKE_MANIFOLD_PRESSURE,ENGINE_LOAD,FUEL_RATE,FUEL_CONSUMPTION
53.0,14.22,1625.0,35.0,95.0,58.0,4.24688899950224,8.012998112268379
62.0,2.28,1210.0,18.0,30.0,23.9,0.6809357889497263,1.0982835305640748
37.0,25.57,2304.0,28.0,30.0,80.8,7.636635141861623,20.639554437463843
24.0,4.61,779.0,21.2,58.0,44.3,1.376804380288701,5.736684917869587
43.0,8.61,1422.0,30.0,46.0,44.7,2.571428571428571,5.980066445182724
10.0,7.62,919.0,25.1,46.0,59.2,2.2757590841214537,22.757590841214537
54.0,6.03,1351.0,21.0,30.0,38.4,1.800895968143355,3.3349925335988053
41.0,19.5,1846.0,26.0,30.0,77.3,5.823792931806869,14.204373004406998
60.0,30.96,2617.0,36.1,44.0,78.4,9.246391239422598,15.41065206570433
84.0,20.15,2087.0,27.0,30.0,82.7,6.017919362867098,7.164189717698926
17.0,4.82,949.0,19.0,30.0,46.7,1.4395221503235442,8.467777354844378
50.0,14.95,1559.0,31.8,55.0,44.3,4.464907914385266,8.929815828770533
78.0,2.18,1687.0,18.0,30.0,23.1,0.6510701841712296,0.8347053643220893
38.0,3.73,1335.0,23.0,34.0,19.6,1.1139870582379294,2.931544890099814
69.0,25.66,2202.0,34.9,63.0,78.8,7.66351418616227,11.106542298785898
74.0,17.23,1833.0,25.0,30.0,76.9,5.145843703334993,6.953842842344585
29.0,5.66,1084.0,15.0,30.0,44.3,1.6903932304629168,5.8289421740100575
91.0,23.46,2261.0,27.0,30.0,69.4,7.006470881035342,7.699418550588287
78.0,36.32,2122.0,69.4,88.0,100.0,10.847187655550025,13.90665084044875
24.0,2.82,1182.0,18.8,97.0,13.7,0.8422100547536089,3.50920856147337
19.0,5.16,1784.0,22.7,46.0,19.6,1.541065206570433,8.110869508265438
15.0,9.48,848.0,29.4,44.0,44.7,2.831259333001493,18.875062220009955
6.0,4.38,1845.0,24.0,42.0,16.5,1.3081134892981583,21.80189148830264
70.0,8.02,2067.0,17.0,30.0,35.7,2.3952215032354407,3.421745004622058
70.0,22.81,2247.0,27.0,30.0,76.9,6.812344449975113,9.73192064282159
65.0,20.15,2203.0,33.3,31.0,67.1,6.017919362867098,9.258337481333998
52.0,3.9,1597.0,21.2,37.0,18.0,1.164758586361374,2.2399203583872573
19.0,3.83,1229.0,24.0,97.0,21.2,1.143852663016426,6.020277173770664
25.0,2.67,1149.0,19.0,30.0,28.6,0.7974116475858637,3.1896465903434548
50.0,2.31,1139.0,18.0,30.0,27.5,0.6898954703832754,1.3797909407665507
50.0,14.72,1607.0,31.4,21.0,62.0,4.396217023394724,8.792434046789449
49.0,12.24,1973.0,32.0,55.0,41.6,3.655550024888004,7.460306173240824
39.0,3.42,1397.0,20.0,28.0,18.4,1.0214036834245894,2.6189838036527933
32.0,10.47,1373.0,32.0,69.0,55.3,3.126928820308611,9.77165256346441
18.0,12.21,1157.0,30.2,20.0,74.5,3.646590343454455,20.25883524141364
53.0,13.19,2533.0,30.6,19.0,30.2,3.939273270283723,7.432591076007025
52.0,14.02,2040.0,31.0,41.0,38.4,4.187157789945246,8.052226519125472
